Sample	Duplicates	Group	Station	Fraction	DNA	Season	Year	DayNight	Replicates	Shore	Lake	Depth_C	Depth_Q	Group_nodiel	Duplicates_nodiel
Sp13.BD.MM110.SD.1	Sp13.BD.MM110.SD.1	Sp.BD.110.SD	MM110	B	D	Sp	13	D	1	Off	MM	S	5	Sp.BD.110.S	Sp13.BD.MM110.SD.1
Sp13.BD.MM110.SD.2	Sp13.BD.MM110.SD.1	Sp.BD.110.SD	MM110	B	D	Sp	13	D	2	Off	MM	S	5	Sp.BD.110.S	Sp13.BD.MM110.SD.1
Sp13.BD.MM110.SN.1	Sp13.BD.MM110.SN.1	Sp.BD.110.SN	MM110	B	D	Sp	13	N	1	Off	MM	S	5	Sp.BD.110.S	Sp13.BD.MM110.SD.1
Sp13.BD.MM110.SN.2	Sp13.BD.MM110.SN.1	Sp.BD.110.SN	MM110	B	D	Sp	13	N	2	Off	MM	S	5	Sp.BD.110.S	Sp13.BD.MM110.SD.1
Sp13.BD.MM15.DD.1	Sp13.BD.MM15.DD.1	Sp.BD.15.DD	MM15	B	D	Sp	13	D	1	Near	MM	D	10	Sp.BD.15.D	Sp13.BD.MM15.DD.1
Sp13.BD.MM15.DD.2	Sp13.BD.MM15.DD.1	Sp.BD.15.DD	MM15	B	D	Sp	13	D	1	Near	MM	D	10	Sp.BD.15.D	Sp13.BD.MM15.DD.1
Sp13.BD.MM15.SD.1	Sp13.BD.MM15.SD.1	Sp.BD.15.SD	MM15	B	D	Sp	13	D	1	Near	MM	S	5	Sp.BD.15.S	Sp13.BD.MM15.SD.1
Sp13.BD.MM15.SD.2	Sp13.BD.MM15.SD.1	Sp.BD.15.SD	MM15	B	D	Sp	13	D	1	Near	MM	S	5	Sp.BD.15.S	Sp13.BD.MM15.SD.1
Sp13.BD.MM15.SN.1	Sp13.BD.MM15.SN.1	Sp.BD.15.SN	MM15	B	D	Sp	13	N	1	Near	MM	S	5	Sp.BD.15.S	Sp13.BD.MM15.SD.1
Sp13.BD.MM15.SN.2	Sp13.BD.MM15.SN.1	Sp.BD.15.SN	MM15	B	D	Sp	13	N	2	Near	MM	S	5	Sp.BD.15.S	Sp13.BD.MM15.SD.1
Sp13.ED.MLB.SN.1	Sp13.ED.MLB.SN.1	Sp.ED.MLB.SN	MLB	E	D	Sp	13	N	1	MLB	MLB	S	5	Sp.ED.MLB.S	Sp13.ED.MLB.SN.1
Sp13.ED.MLB.SN.2	Sp13.ED.MLB.SN.1	Sp.ED.MLB.SN	MLB	E	D	Sp	13	N	1	MLB	MLB	S	5	Sp.ED.MLB.S	Sp13.ED.MLB.SN.1
Sp13.ED.MM110.DD.1	Sp13.ED.MM110.DD.1	Sp.ED.110.DD	MM110	E	D	Sp	13	D	2	Off	MM	D	110	Sp.ED.110.D	Sp13.ED.MM110.DD.1
Sp13.ED.MM110.DD.2	Sp13.ED.MM110.DD.1	Sp.ED.110.DD	MM110	E	D	Sp	13	D	2	Off	MM	D	110	Sp.ED.110.D	Sp13.ED.MM110.DD.1
Sp13.ED.MM110.SD.1	Sp13.ED.MM110.SD.1	Sp.ED.110.SD	MM110	E	D	Sp	13	D	1	Off	MM	S	5	Sp.ED.110.S	Sp13.ED.MM110.SD.1
Sp13.ED.MM110.SD.2	Sp13.ED.MM110.SD.1	Sp.ED.110.SD	MM110	E	D	Sp	13	D	2	Off	MM	S	5	Sp.ED.110.S	Sp13.ED.MM110.SD.1
Sp13.ED.MM110.SN.1	Sp13.ED.MM110.SN.1	Sp.ED.110.SN	MM110	E	D	Sp	13	N	1	Off	MM	S	5	Sp.ED.110.S	Sp13.ED.MM110.SD.1
Sp13.ED.MM15.DD.1	Sp13.ED.MM15.DD.1	Sp.ED.15.DD	MM15	E	D	Sp	13	D	1	Near	MM	D	10	Sp.ED.15.D	Sp13.ED.MM15.DD.1
Sp13.ED.MM15.DD.2	Sp13.ED.MM15.DD.1	Sp.ED.15.DD	MM15	E	D	Sp	13	D	2	Near	MM	D	10	Sp.ED.15.D	Sp13.ED.MM15.DD.1
Sp13.ED.MM15.SD.1	Sp13.ED.MM15.SD.1	Sp.ED.15.SD	MM15	E	D	Sp	13	D	1	Near	MM	S	5	Sp.ED.15.S	Sp13.ED.MM15.SD.1
Sp13.ED.MM15.SD.2	Sp13.ED.MM15.SD.1	Sp.ED.15.SD	MM15	E	D	Sp	13	D	2	Near	MM	S	5	Sp.ED.15.S	Sp13.ED.MM15.SD.1
Sp13.ED.MM15.SN.1	Sp13.ED.MM15.SN.1	Sp.ED.15.SN	MM15	E	D	Sp	13	N	2	Near	MM	S	5	Sp.ED.15.S	Sp13.ED.MM15.SD.1
Sp13.ED.MM15.SN.2	Sp13.ED.MM15.SN.1	Sp.ED.15.SN	MM15	E	D	Sp	13	N	2	Near	MM	S	5	Sp.ED.15.S	Sp13.ED.MM15.SD.1
Su13.BD.MLB.DD.1	Su13.BD.MLB.DD.1	Su.BD.MLB.DD	MLB	B	D	Su	13	D	1	MLB	MLB	D	8	Su.BD.MLB.D	Su13.BD.MLB.DD.1
