otu	C_source	energy	energy_short
Otu000051	heterotroph	chemoorganotroph	org
Otu000055	heterotroph	chemoorganotroph	org
Otu000058	heterotroph	chemoorganotroph	org
Otu000062	heterotroph	chemoorganotroph	org
Otu000068	heterotroph	chemoorganotroph	org
Otu000083	heterotroph	chemoorganotroph	org
Otu000035	heterotroph	chemoorganotroph	org
Otu000088	heterotroph	chemoorganotroph	org
Otu000098	heterotroph	chemoorganotroph	org
Otu000155	heterotroph	chemoorganotroph	org
Otu000110	heterotroph	chemoorganotroph	org
Otu000151	heterotroph	chemoorganotroph	org
Otu000162	heterotroph	chemoorganotroph	org
Otu000081	autotroph	chemoorganotroph(methylotroph)	org(C1)
Otu000019	heterotroph	chemoorganotroph	org
Otu000046	heterotroph	chemoorganotroph	org
Otu000012	heterotroph	chemoorganotroph(methylotroph)	org(C1)
Otu000048	heterotroph	chemoorganotroph(methylotroph)	org(C1)
Otu000069	heterotroph	chemoorganotroph(methylotroph)	org(C1)
Otu000072	heterotroph	chemoorganotroph(methylotroph)	org(C1)
Otu000077	heterotroph	chemoorganotroph(methylotroph)	org(C1)
Otu000033	heterotroph	chemoorganotroph	org
Otu000022	heterotroph	chemoorganotroph	org
