Sample	T	DO	Chla	TP	POC	PON	DOC	SiO2	TSS	PAR
Fa13.ED.MM110.DN.1	4.27	15	0.16	2.551	0.071	0.0118	1.848	1.94	0.094	1.00E-12
Fa13.ED.MM110.SD.1	17.33	13.5	1.166	4.7705	0.376	0.054	2.108	1.18	0.579	19.834
Fa13.ED.MM110.SN.1	18.15	13.5	1.166	4.7705	0.376	0.054	2.108	1.18	0.579	1.00E-12
Fa13.ED.MM15.SD.1	14.32	14.5	1.329	4.151	0.258	0.0346	2.066	1.46	0.534	417.72
Fa13.ED.MM15.SN.1	13.01	14.5	1.329	4.151	0.258	0.0346	2.066	1.46	0.534	1.00E-12
Sp13.ED.MM110.SD.1	2.81	13.5	0.684	3.42	0.089	0.0125	2.22	1.82	0.12	15.986
Sp13.ED.MM110.SN.1	2.71	13.5	0.684	3.42	0.089	0.0125	2.22	1.82	0.12	1.00E-12
Sp13.ED.MM15.SD.1	4.82	15	5.671	27.819	0.586	0.0782	3.663	2.53	7.297	25.778
Sp13.ED.MM15.SN.1	5.59	15	5.671	27.819	0.586	0.0782	3.663	2.53	7.297	1.00E-12
Su13.ED.MM110.DCMD.1	5.65	11.39609	2.959	5.162	0.189	0.0261	2.135	1.82	0.578	4.0415
Su13.ED.MM110.SD.1	20.88	7.6681	1.031	5.0755	0.213	0.032	2.521	1.25	0.562	134.83
Su13.ED.MM110.SN.1	21.91	8.1867	1.031	5.0755	0.213	0.032	2.521	1.25	0.562	1.00E-12
Su13.ED.MM15.SD.1	16.06	7.34323	2.38	5.857	0.377	0.0531	6.133	1.12	1.12	834.83
Su13.ED.MM15.SN.1	16.99	9.23808	2.38	5.857	0.377	0.0531	6.133	1.12	1.12	85.076
